Country,Country Code,Year,Electricity PRODUCTION from wind (TWh),Electricity PRODUCTION from hydro (TWh),Electricity PRODUCTION from solar (TWh),PRODUCTION of other renewables including bioenergy (TWh),SHARE of Renewables (% electricity),Population Rank,Population,Hydro ELECTRIC SHARE ONLY  (% electricity),Hydro SHARE ALL (% equivalent primary energy),Electricity CONSUMPTION from hydro (TWh),Wind SHARE ELECTRIC ONLY  (% electricity),Wind SHARE ALL  (% equivalent primary energy),Electricity GENERATED from wind (TWh),Solar ELECTRICITY ONLY (% electricity),Solar SHARE ALL (% equivalent primary energy),Electricity CONSUMED from solar (TWh),City,Air Pollution
BANGLADESH,BGD,2017,0.01,1.03,0.25,0.03,1.9155419,8,169828911,1.4947032,0.7132308,1.03,0.014511681,0.003521487,0.01,0.36279202,0.17552204,0.25,Dhaka,80
BANGLADESH,BGD,2018,0.01,1.08,0.28,0.03,1.8926592,8,169828911,1.4600514,0.5627178,1.08,0.013518994,0.003304198,0.01,0.37853184,0.17885798,0.28,Dhaka,97
BANGLADESH,BGD,2019,0.01,0.77,0.33,0.03,1.4337819,8,169828911,0.9684316,0.47938937,0.77,0.012577034,0.002958313,0.01,0.41504213,0.1907694,0.33,Dhaka,83
BANGLADESH,BGD,2020,0.01,0.88,0.39,0.03,1.7298295,8,169828911,1.162023,0.41935676,0.88,0.013204806,0.003051207,0.01,0.5149874,0.23347098,0.39,Dhaka,77
BANGLADESH,BGD,2021,0.01,0.88,0.47,0.03,1.7252079,8,169828911,1.0922179,0.38842055,0.88,0.012411567,0.002896578,0.01,0.5833437,0.25673142,0.47,Dhaka,78
CHINA,CHN,2017,304.6,1165.06,117.8,79.59891,25.419243,1,1411750000,17.764774,8.354614,1165.06,4.6445246,2.184269,304.6,1.7962083,0.84473693,117.8,Beijing,59
CHINA,CHN,2018,365.8,1198.89,176.9,93.72523,25.774794,1,1411750000,16.836924,8.221995,1198.89,5.1372075,2.508665,365.8,2.4843411,1.2131844,176.9,Beijing,51
CHINA,CHN,2019,405.3,1272.54,224,112.72523,26.999567,1,1411750000,17.05477,8.39045,1272.54,5.431891,2.672336,405.3,3.0020812,1.4769387,224,Beijing,42
CHINA,CHN,2020,466.5,1321.71,261.1,135.625,28.24646,1,1411750000,17.086798,8.467438,1321.71,6.030817,2.9886,466.5,3.3754478,1.672719,261.1,Beijing,38
CHINA,CHN,2021,655.6,1300,327,169.93158,28.907642,1,1411750000,15.322926,7.768007,1300,7.7274694,3.9174657,655.6,3.854305,1.9539526,327,Beijing,34
CHINA,CHN,2017,304.6,1165.06,117.8,79.59891,25.419243,1,1411750000,17.764774,8.354614,1165.06,4.6445246,2.184269,304.6,1.7962083,0.84473693,117.8,Hotan,92
CHINA,CHN,2018,365.8,1198.89,176.9,93.72523,25.774794,1,1411750000,16.836924,8.221995,1198.89,5.1372075,2.508665,365.8,2.4843411,1.2131844,176.9,Hotan,116
CHINA,CHN,2019,405.3,1272.54,224,112.72523,26.999567,1,1411750000,17.05477,8.39045,1272.54,5.431891,2.672336,405.3,3.0020812,1.4769387,224,Hotan,110
CHINA,CHN,2020,466.5,1321.71,261.1,135.625,28.24646,1,1411750000,17.086798,8.467438,1321.71,6.030817,2.9886,466.5,3.3754478,1.672719,261.1,Hotan,110
CHINA,CHN,2021,655.6,1300,327,169.93158,28.907642,1,1411750000,15.322926,7.768007,1300,7.7274694,3.9174657,655.6,3.854305,1.9539526,327,Hotan,102
FRANCE,FRA,2017,24.61,50,9.59,8.43,16.657675,21,68221000,8.991511,4.75486,50,4.425622,2.3833985,24.61,1.724572,0.8839415,9.59,Passy,17
FRANCE,FRA,2018,28.6,65.11,10.92,8.99,19.731518,21,68221000,11.307157,6.058622,65.11,4.9667435,2.7044618,28.6,1.896393,0.98691845,10.92,Passy,11
FRANCE,FRA,2019,34.72,56.91,12.33,9.25,20.011667,21,68221000,10.059748,5.405574,56.91,6.137312,3.3397024,34.72,2.1795235,1.1333872,12.33,Passy,10
FRANCE,FRA,2020,39.86,62.59,13.46,9.37,23.761024,21,68221000,11.871029,6.5299044,62.59,7.559981,4.2431736,39.86,2.5528686,1.3797481,13.46,Passy,11
FRANCE,FRA,2021,36.83,59.62,15.73,10.18,22.231913,21,68221000,10.832516,5.8052735,59.62,6.6917405,3.7022312,36.83,2.8580253,1.4627429,15.73,Passy,11
INDIA,IND,2017,52.63,135.82,21.54,24.908186,15.966991,2,1392329000,9.232171,4.154272,135.82,3.577449,1.6097115,52.63,1.4641507,0.65895945,21.54,Agra,111
INDIA,IND,2018,60.31,139.75,36.33,27.22409,16.694954,2,1392329000,8.850651,3.9928124,139.75,3.8195543,1.7231226,60.31,2.3008525,1.0380032,36.33,Agra,105
INDIA,IND,2019,63.31,162.07,46.27,31.511576,18.691542,2,1392329000,9.99254,4.503677,162.07,3.9034224,1.7594463,63.31,2.8528092,1.2857383,46.27,Agra,57
INDIA,IND,2020,60.43,163.71,58.68,32.93788,20.205925,2,1392329000,10.476033,4.808334,163.71,3.8670003,1.774786,60.43,3.7550154,1.7235659,58.68,Agra,80
INDIA,IND,2021,68.09,160.33,68.31,35.473618,19.384392,2,1392329000,9.355507,4.2628875,160.33,3.973158,1.8105556,68.09,3.9859955,1.8161811,68.31,Agra,73
INDIA,IND,2018,60.31,139.75,36.33,27.22409,16.694954,2,1392329000,8.850651,3.9928124,139.75,3.8195543,1.7231226,60.31,2.3008525,1.0380032,36.33,Jaipur,68
INDIA,IND,2019,63.31,162.07,46.27,31.511576,18.691542,2,1392329000,9.99254,4.503677,162.07,3.9034224,1.7594463,63.31,2.8528092,1.2857383,46.27,Jaipur,50
